Secondary 0 muon ke=2361.67 (x,y,z)= -93.8433 -84.6608 0 (m)
Secondary 0 muon ke=6704.88 (x,y,z)= 149.249 -97.0567 0 (m)
Secondary 2 muon ke=12804.9 (x,y,z)= -72.0452 -84.4228 0 (m)
Secondary 0 muon ke=6247.02 (x,y,z)= -110.011 -49.0753 0 (m)
Secondary 0 muon ke=15022.9 (x,y,z)= -94.5299 137.723 0 (m)
Secondary 0 muon ke=2609.65 (x,y,z)= -107.347 75.3685 0 (m)
Secondary 0 muon ke=1948.72 (x,y,z)= 104.509 -84.2855 0 (m)
Secondary 0 muon ke=332.299 (x,y,z)= -26.8287 114.762 0 (m)
Secondary 0 muon ke=1568.32 (x,y,z)= 16.4744 -148.709 0 (m)
Secondary 0 muon ke=567.719 (x,y,z)= -86.977 84.4411 0 (m)
Secondary 0 muon ke=12216.2 (x,y,z)= -85.0728 -110.862 0 (m)
Secondary 0 muon ke=326.453 (x,y,z)= -34.4274 -37.9429 0 (m)
Secondary 0 muon ke=42725.5 (x,y,z)= -62.0205 118.809 0 (m)
Secondary 0 muon ke=1074.67 (x,y,z)= 55.2733 -126.06 0 (m)
